team,2022-fb,2022-hr,2015-fb,2015-hr,2016-fb,2016-hr,2017-fb,2017-hr,2018-fb,2018-hr,2019-fb,2019-hr,2021-fb,2021-hr
Arizona Diamondbacks,111,51,37,15,64,34,87,48,99,53,93,62,91,44
Atlanta Braves,148,57,36,18,49,22,67,44,86,50,117,77,129,53
Baltimore Orioles,119,52,56,16,84,41,83,50,95,48,77,44,101,46
Boston Red Sox,105,39,53,21,92,42,65,31,138,65,103,51,112,50
Chicago Cubs,92,36,63,30,80,42,83,42,81,40,106,62,109,60
Cincinnati Reds,93,39,46,27,52,33,82,60,90,42,77,51,100,49
Cleveland Indians,82,35,62,29,73,42,87,42,131,66,90,49,97,49
Colorado Rockies,79,39,48,30,67,34,66,42,103,68,98,59,79,35
Chicago White Sox,102,39,36,14,57,29,84,46,84,32,74,38,93,34
Detroit Tigers,84,32,76,28,112,42,91,42,94,37,94,36,112,50
Houston Astros,115,57,75,40,78,34,98,65,101,49,92,52,107,51
Kansas City Royals,96,35,50,21,71,29,80,47,98,32,74,34,103,36
Los Angeles Angels,106,43,44,17,52,23,72,51,100,64,95,58,104,47
Los Angeles Dodgers,153,71,60,28,73,40,89,65,117,65,124,81,115,61
Miami Marlins,98,45,34,15,30,12,60,35,68,33,59,32,79,36
Milwaukee Brewers,132,67,43,25,54,25,93,65,90,51,110,64,107,54
Minnesota Twins,156,50,45,23,94,40,86,49,100,44,115,67,114,44
New York Mets,95,40,35,18,84,48,102,65,103,52,87,47,92,50
New York Yankees,145,65,66,41,55,31,75,36,128,72,90,59,115,46
Oakland Athletics,90,31,47,26,59,26,101,58,113,48,111,68,106,41
Philadelphia Phillies,110,42,34,14,61,33,70,41,95,41,87,46,76,31
Pittsburgh Pirates,109,51,58,18,79,38,65,41,93,49,76,43,76,39
San Diego Padres,98,35,54,24,59,32,49,33,60,31,99,52,93,48
Seattle Mariners,100,34,62,29,92,48,72,37,96,39,124,82,108,56
San Francisco Giants,133,62,42,21,63,27,65,35,96,46,90,47,139,82
St. Louis Cardinals,119,56,46,22,106,50,93,52,93,46,98,47,109,39
Tampa Bay Rays,82,41,53,24,85,49,97,63,68,35,100,43,91,40
Texas Rangers,127,67,48,23,81,43,85,48,83,34,89,44,99,53
Toronto Blue Jays,122,44,66,33,101,43,90,59,114,42,98,66,108,51
Washington Nationals,96,39,48,22,80,39,102,64,97,50,110,65,92,42
MLB,3297,1394,1523,712,2187,1071,2439,1456,2914,1424,2857,1626,3056,1417